IVId,ReadingId,Voltage,CurrentAmp
142,15,0.5,7.4
143,15,1.0,7.78
144,15,1.5,7.5
145,15,2.0,6.81
146,15,2.5,8.16
147,15,3.0,6.88
148,15,3.5,6.54
149,15,4.0,7.13
150,15,4.5,6.14
151,16,0.0,8.31
152,16,0.5,7.35
153,16,1.0,8.74
154,16,1.5,6.81
155,16,2.0,7.03
156,16,2.5,6.85
157,16,3.0,6.97
158,16,3.5,7.66
159,16,4.0,7.02
160,16,4.5,7.57
161,17,0.0,8.89
162,17,0.5,7.61
163,17,1.0,7.13
164,17,1.5,7.63
165,17,2.0,7.91
166,17,2.5,8.34
167,17,3.0,6.4
168,17,3.5,7.37
169,17,4.0,7.87
170,17,4.5,7.62
171,18,0.0,8.2
172,18,0.5,8.16
173,18,1.0,7.51
174,18,1.5,8.59
175,18,2.0,7.81
176,18,2.5,7.1
177,18,3.0,7.96
178,18,3.5,7.7
179,18,4.0,6.92
180,18,4.5,6.39
181,19,0.0,7.76
182,19,0.5,8.23
183,19,1.0,8.56
184,19,1.5,8.03
185,19,2.0,7.76
186,19,2.5,6.57
187,19,3.0,6.94
188,19,3.5,8.15
189,19,4.0,7.4
190,19,4.5,7.57
191,20,0.0,7.69
192,20,0.5,8.75
193,20,1.0,6.89
194,20,1.5,6.89
195,20,2.0,6.86
196,20,2.5,6.96
197,20,3.0,8.21
198,20,3.5,7.43
199,20,4.0,6.61
200,20,4.5,6.22
201,21,0.0,8.56
202,21,0.5,8.02
203,21,1.0,8.69
204,21,1.5,8.57
205,21,2.0,8.5
206,21,2.5,7.93
207,21,3.0,7.6
208,21,3.5,6.31
209,21,4.0,7.63
210,21,4.5,7.57
211,22,0.0,8.4
212,22,0.5,7.64
213,22,1.0,7.57
214,22,1.5,6.73
215,22,2.0,7.93
216,22,2.5,7.81
217,22,3.0,7.82
218,22,3.5,6.88
219,22,4.0,6.61
220,22,4.5,7.4
221,23,0.0,7.25
222,23,0.5,8.36
223,23,1.0,7.81
224,23,1.5,7.24
225,23,2.0,8.11
226,23,2.5,7.04
227,23,3.0,7.7
228,23,3.5,7.23
229,23,4.0,8.05
230,23,4.5,6.82
231,24,0.0,7.66
232,24,0.5,8.56
233,24,1.0,8.65
234,24,1.5,7.66
235,24,2.0,7.88
236,24,2.5,7.39
237,24,3.0,8.31
238,24,3.5,6.32
239,24,4.0,7.71
240,24,4.5,6.2
241,25,0.0,8.24
242,25,0.5,7.4
243,25,1.0,7.29
244,25,1.5,7.84
245,25,2.0,7.52
246,25,2.5,7.05
247,25,3.0,7.15
248,25,3.5,7.07
249,25,4.0,7.51
250,25,4.5,6.33
251,26,0.0,8.64
252,26,0.5,8.55
253,26,1.0,8.33
254,26,1.5,6.82
255,26,2.0,7.31
256,26,2.5,7.77
257,26,3.0,7.31
258,26,3.5,6.42
259,26,4.0,7.18
260,26,4.5,7.45
261,27,0.0,8.31
262,27,0.5,6.94
263,27,1.0,7.08
264,27,1.5,7.72
265,27,2.0,6.69
266,27,2.5,7.95
267,27,3.0,7.74
268,27,3.5,8.27
269,27,4.0,6.47
270,27,4.5,7.13
271,28,0.0,8.09
272,28,0.5,7.85
273,28,1.0,6.89
274,28,1.5,6.84
275,28,2.0,7.13
276,28,2.5,7.72
277,28,3.0,7.69
278,28,3.5,7.03
279,28,4.0,7.58
280,28,4.5,7.02
281,29,0.0,8.6
282,29,0.5,7.63
283,29,1.0,8.29
284,29,1.5,7.9
285,29,2.0,8.4
286,29,2.5,8.16
287,29,3.0,7.02
288,29,3.5,6.44
289,29,4.0,8.18
290,29,4.5,7.52
291,30,0.0,8.74
292,30,0.5,6.91
293,30,1.0,7.93
294,30,1.5,8.57
295,30,2.0,6.63
296,30,2.5,8.28
297,30,3.0,7.55
298,30,3.5,6.88
299,30,4.0,6.27
300,30,4.5,7.09
301,31,0.0,7.04
302,31,0.5,7.47
303,31,1.0,8.13
304,31,1.5,8.28
305,31,2.0,6.73
306,31,2.5,7.41
307,31,3.0,7.44
308,31,3.5,6.31
309,31,4.0,7.85
310,31,4.5,7.92
311,32,0.0,7.87
312,32,0.5,8.77
313,32,1.0,6.9
314,32,1.5,7.48
315,32,2.0,7.36
316,32,2.5,6.58
317,32,3.0,7.57
318,32,3.5,7.91
319,32,4.0,7.66
320,32,4.5,7.24
321,33,0.0,7.6
322,33,0.5,7.61
323,33,1.0,6.89
324,33,1.5,6.9
325,33,2.0,6.99
326,33,2.5,7.21
327,33,3.0,6.45
328,33,3.5,6.79
329,33,4.0,6.55
330,33,4.5,6.39
331,34,0.0,7.01
332,34,0.5,7.64
333,34,1.0,8.54
334,34,1.5,7.06
335,34,2.0,6.61
336,34,2.5,6.57
337,34,3.0,8.07
338,34,3.5,6.74
339,34,4.0,6.66
340,34,4.5,7.45
341,35,0.0,7.72
342,35,0.5,7.03
343,35,1.0,6.95
344,35,1.5,8.52
345,35,2.0,7.34
346,35,2.5,8.3
347,35,3.0,7.77
348,35,3.5,6.51
349,35,4.0,7.81
350,35,4.5,7.62
351,36,0.0,8.9
352,36,0.5,7.38
353,36,1.0,8.7
354,36,1.5,8.51
355,36,2.0,7.08
356,36,2.5,6.7
357,36,3.0,8.39
358,36,3.5,7.08
359,36,4.0,6.75
360,36,4.5,6.69
361,37,0.0,7.23
362,37,0.5,8.52
363,37,1.0,8.5
364,37,1.5,7.93
365,37,2.0,7.39
366,37,2.5,7.29
367,37,3.0,7.11
368,37,3.5,7.36
369,37,4.0,7.8
370,37,4.5,6.27
371,38,0.0,8.94
372,38,0.5,7.21
373,38,1.0,8.64
374,38,1.5,7.85
375,38,2.0,7.93
376,38,2.5,6.85
377,38,3.0,6.43
378,38,3.5,7.25
379,38,4.0,8.03
380,38,4.5,7.92
381,39,0.0,7.77
382,39,0.5,6.92
383,39,1.0,7.65
384,39,1.5,8.7
385,39,2.0,7.81
386,39,2.5,6.77
387,39,3.0,7.28
388,39,3.5,7.98
389,39,4.0,6.9
390,39,4.5,6.96
391,40,0.0,7.9
392,40,0.5,8.16
393,40,1.0,7.39
394,40,1.5,7.88
395,40,2.0,8.49
396,40,2.5,7.85
397,40,3.0,6.99
398,40,3.5,8.12
399,40,4.0,6.43
400,40,4.5,6.53
401,41,0.0,7.59
402,41,0.5,8.48
403,41,1.0,8.68
404,41,1.5,8.17
405,41,2.0,8.31
406,41,2.5,6.76
407,41,3.0,7.32
408,41,3.5,7.32
409,41,4.0,7.4
410,41,4.5,6.43
411,42,0.0,7.69
412,42,0.5,7.78
413,42,1.0,7.22
414,42,1.5,8.12
415,42,2.0,7.39
416,42,2.5,6.73
417,42,3.0,7.63
418,42,3.5,7.12
419,42,4.0,6.94
420,42,4.5,7.96
421,43,0.0,7.98
422,43,0.5,6.99
423,43,1.0,6.96
424,43,1.5,8.43
425,43,2.0,8.07
426,43,2.5,7.56
427,43,3.0,6.9
428,43,3.5,8.2
429,43,4.0,8.03
430,43,4.5,6.33
431,44,0.0,8.55
432,44,0.5,8.83
433,44,1.0,7.28
434,44,1.5,7.77
435,44,2.0,7.05
436,44,2.5,6.78
437,44,3.0,6.54
438,44,3.5,7.44
439,44,4.0,7.44
440,44,4.5,7.26
441,45,0.0,8.74
442,45,0.5,7.08
443,45,1.0,7.46
444,45,1.5,6.76
445,45,2.0,8.57
446,45,2.5,6.9
447,45,3.0,8.31
448,45,3.5,6.73
449,45,4.0,7.94
450,45,4.5,7.11
451,46,0.0,8.16
452,46,0.5,7.93
453,46,1.0,8.14
454,46,1.5,8.01
455,46,2.0,7.54
456,46,2.5,8.06
457,46,3.0,7.17
458,46,3.5,7.92
459,46,4.0,7.18
460,46,4.5,7.82
461,47,0.0,8.77
462,47,0.5,8.45
463,47,1.0,7.46
464,47,1.5,8.06
465,47,2.0,7.6
466,47,2.5,7.05
467,47,3.0,7.14
468,47,3.5,7.72
469,47,4.0,7.57
470,47,4.5,7.48
471,48,0.0,8.54
472,48,0.5,8.25
473,48,1.0,7.95
474,48,1.5,7.1
475,48,2.0,6.87
476,48,2.5,7.22
477,48,3.0,7.89
478,48,3.5,6.87
479,48,4.0,7.23
480,48,4.5,7.41
481,49,0.0,8.26
482,49,0.5,7.15
483,49,1.0,7.13
484,49,1.5,8.44
485,49,2.0,8.04
486,49,2.5,7.49
487,49,3.0,6.57
488,49,3.5,7.12
489,49,4.0,7.29
490,49,4.5,7.35
491,50,0.0,8.01
492,50,0.5,7.22
493,50,1.0,8.39
494,50,1.5,8.46
495,50,2.0,7.67
496,50,2.5,7.95
497,50,3.0,6.81
498,50,3.5,7.36
499,50,4.0,7.73
500,50,4.5,7.51
501,51,0.0,8.2
502,51,0.5,8.81
503,51,1.0,7.69
504,51,1.5,7.02
505,51,2.0,6.9
506,51,2.5,7.07
507,51,3.0,8.01
508,51,3.5,7.18
509,51,4.0,6.27
510,51,4.5,6.76
511,52,0.0,8.82
512,52,0.5,7.91
513,52,1.0,8.57
514,52,1.5,8.58
515,52,2.0,8.11
516,52,2.5,7.56
517,52,3.0,6.56
518,52,3.5,8.15
519,52,4.0,7.03
520,52,4.5,6.86
521,53,0.0,8.58
522,53,0.5,8.81
523,53,1.0,8.25
524,53,1.5,8.13
525,53,2.0,7.21
526,53,2.5,7.93
527,53,3.0,7.01
528,53,3.5,6.93
529,53,4.0,6.55
530,53,4.5,7.85
531,54,0.0,7.91
532,54,0.5,8.02
533,54,1.0,7.13
534,54,1.5,7.16
535,54,2.0,7.22
536,54,2.5,8.49
537,54,3.0,7.65
538,54,3.5,6.43
539,54,4.0,6.35
540,54,4.5,7.38
541,55,0.0,8.93
542,55,0.5,7.73
543,55,1.0,8.4
544,55,1.5,7.11
545,55,2.0,7.98
546,55,2.5,6.76
547,55,3.0,6.56
548,55,3.5,6.77
549,55,4.0,7.77
550,55,4.5,6.5
551,56,0.0,7.52
552,56,0.5,8.88
553,56,1.0,6.99
554,56,1.5,6.84
555,56,2.0,6.6
556,56,2.5,8.26
557,56,3.0,7.97
558,56,3.5,6.79
559,56,4.0,8.06
560,56,4.5,6.43
561,57,0.0,7.63
562,57,0.5,7.41
563,57,1.0,6.98
564,57,1.5,8.11
565,57,2.0,7.45
566,57,2.5,6.94
567,57,3.0,8.08
568,57,3.5,6.32
569,57,4.0,7.74
570,57,4.5,6.88
571,58,0.0,8.48
572,58,0.5,7.12
573,58,1.0,7.5
574,58,1.5,7.51
575,58,2.0,6.89
576,58,2.5,6.54
577,58,3.0,6.41
578,58,3.5,7.43
579,58,4.0,6.5
580,58,4.5,7.83
581,59,0.0,8.91
582,59,0.5,7.05
583,59,1.0,7.21
584,59,1.5,7.82
585,59,2.0,8.52
586,59,2.5,6.87
587,59,3.0,6.42
588,59,3.5,6.99
589,59,4.0,7.29
590,59,4.5,7.76
591,60,0.0,8.47
592,60,0.5,7.01
593,60,1.0,7.0
594,60,1.5,8.43
595,60,2.0,7.25
596,60,2.5,6.94
597,60,3.0,6.93
598,60,3.5,6.73
599,60,4.0,7.48
600,60,4.5,7.58
601,61,0.0,8.94
602,61,0.5,8.38
603,61,1.0,8.5
604,61,1.5,7.08
605,61,2.0,7.38
606,61,2.5,7.03
607,61,3.0,7.9
608,61,3.5,7.2
609,61,4.0,7.74
610,61,4.5,7.99
611,62,0.0,7.6
612,62,0.5,8.0
613,62,1.0,8.65
614,62,1.5,8.44
615,62,2.0,7.26
616,62,2.5,8.23
617,62,3.0,6.43
618,62,3.5,6.33
619,62,4.0,7.68
620,62,4.5,7.38
621,63,0.0,7.92
622,63,0.5,7.4
623,63,1.0,7.0
624,63,1.5,8.09
625,63,2.0,8.16
626,63,2.5,7.94
627,63,3.0,7.95
628,63,3.5,7.25
629,63,4.0,7.79
630,63,4.5,6.3
631,64,0.0,7.86
632,64,0.5,8.78
633,64,1.0,7.71
634,64,1.5,6.81
635,64,2.0,6.83
636,64,2.5,7.36
637,64,3.0,8.26
638,64,3.5,6.83
639,64,4.0,6.67
640,64,4.5,6.59
641,65,0.0,8.91
642,65,0.5,7.29
643,65,1.0,8.47
644,65,1.5,7.04
645,65,2.0,8.31
646,65,2.5,6.91
647,65,3.0,8.19
648,65,3.5,7.63
649,65,4.0,7.0
650,65,4.5,7.01
651,66,0.0,8.29
652,66,0.5,8.86
653,66,1.0,8.26
654,66,1.5,8.49
655,66,2.0,8.31
656,66,2.5,7.25
657,66,3.0,7.61
658,66,3.5,6.96
659,66,4.0,7.16
660,66,4.5,7.27
661,67,0.0,8.28
662,67,0.5,7.44
663,67,1.0,7.8
664,67,1.5,7.01
665,67,2.0,7.3
666,67,2.5,7.53
667,67,3.0,6.59
668,67,3.5,6.9
669,67,4.0,8.19
670,67,4.5,7.48
671,68,0.0,7.92
672,68,0.5,7.05
673,68,1.0,8.14
674,68,1.5,7.11
675,68,2.0,7.38
676,68,2.5,8.15
677,68,3.0,7.38
678,68,3.5,6.53
679,68,4.0,7.15
680,68,4.5,6.59
681,69,0.0,8.88
682,69,0.5,7.47
683,69,1.0,6.87
684,69,1.5,7.89
685,69,2.0,7.21
686,69,2.5,7.35
687,69,3.0,7.05
688,69,3.5,7.24
689,69,4.0,6.82
690,69,4.5,6.46
691,70,0.0,7.89
692,70,0.5,7.63
693,70,1.0,8.4
694,70,1.5,8.18
695,70,2.0,7.38
696,70,2.5,8.23
697,70,3.0,6.47
698,70,3.5,8.22
699,70,4.0,6.4
700,70,4.5,7.37
701,71,0.0,7.87
702,71,0.5,7.74
703,71,1.0,7.65
704,71,1.5,8.15
705,71,2.0,8.1
706,71,2.5,7.89
707,71,3.0,7.42
708,71,3.5,6.31
709,71,4.0,7.05
710,71,4.5,6.8
711,72,0.0,7.11
712,72,0.5,7.61
713,72,1.0,8.23
714,72,1.5,7.19
715,72,2.0,6.77
716,72,2.5,8.16
717,72,3.0,7.81
718,72,3.5,6.32
719,72,4.0,6.43
720,72,4.5,6.3
721,73,0.0,8.58
722,73,0.5,8.3
723,73,1.0,6.85
724,73,1.5,8.11
725,73,2.0,6.75
726,73,2.5,6.69
727,73,3.0,8.19
728,73,3.5,6.49
729,73,4.0,6.84
730,73,4.5,7.17
731,74,0.0,7.17
732,74,0.5,8.63
733,74,1.0,7.97
734,74,1.5,7.62
735,74,2.0,7.83
736,74,2.5,7.14
737,74,3.0,7.29
738,74,3.5,7.69
739,74,4.0,7.17
740,74,4.5,6.25
741,75,0.0,7.36
742,75,0.5,8.18
743,75,1.0,7.81
744,75,1.5,8.69
745,75,2.0,7.19
746,75,2.5,7.92
747,75,3.0,8.18
748,75,3.5,6.34
749,75,4.0,6.59
750,75,4.5,6.99
751,76,0.0,7.09
752,76,0.5,8.36
753,76,1.0,8.56
754,76,1.5,7.72
755,76,2.0,8.23
756,76,2.5,8.1
757,76,3.0,7.98
758,76,3.5,6.52
759,76,4.0,7.02
760,76,4.5,6.49
761,77,0.0,7.54
762,77,0.5,7.59
763,77,1.0,6.94
764,77,1.5,8.05
765,77,2.0,7.58
766,77,2.5,7.65
767,77,3.0,7.51
768,77,3.5,7.35
769,77,4.0,7.08
770,77,4.5,7.47
771,78,0.0,8.61
772,78,0.5,7.47
773,78,1.0,8.1
774,78,1.5,6.83
775,78,2.0,8.45
776,78,2.5,7.54
777,78,3.0,7.32
778,78,3.5,7.3
779,78,4.0,7.32
780,78,4.5,7.76
781,79,0.0,7.22
782,79,0.5,7.14
783,79,1.0,8.55
784,79,1.5,6.75
785,79,2.0,6.73
786,79,2.5,6.88
787,79,3.0,7.29
788,79,3.5,6.36
789,79,4.0,7.1
790,79,4.5,7.92
791,80,0.0,8.99
792,80,0.5,7.26
793,80,1.0,8.36
794,80,1.5,6.84
795,80,2.0,7.6
796,80,2.5,7.42
797,80,3.0,7.91
798,80,3.5,8.14
799,80,4.0,6.2
800,80,4.5,8.01
801,81,0.0,7.84
802,81,0.5,7.48
803,81,1.0,8.45
804,81,1.5,8.48
805,81,2.0,7.89
806,81,2.5,8.32
807,81,3.0,6.55
808,81,3.5,7.5
809,81,4.0,6.24
810,81,4.5,7.75
811,82,0.0,7.44
812,82,0.5,8.69
813,82,1.0,8.58
814,82,1.5,8.64
815,82,2.0,6.79
816,82,2.5,7.42
817,82,3.0,7.78
818,82,3.5,7.77
819,82,4.0,7.63
820,82,4.5,6.92
821,83,0.0,8.22
822,83,0.5,7.08
823,83,1.0,7.31
824,83,1.5,7.38
825,83,2.0,7.97
826,83,2.5,7.24
827,83,3.0,6.67
828,83,3.5,7.26
829,83,4.0,6.31
830,83,4.5,6.21
831,84,0.0,8.02
832,84,0.5,7.78
833,84,1.0,7.29
834,84,1.5,6.96
835,84,2.0,7.79
836,84,2.5,7.48
837,84,3.0,8.31
838,84,3.5,7.43
839,84,4.0,7.21
840,84,4.5,7.67
841,85,0.0,8.77
842,85,0.5,7.77
843,85,1.0,8.68
844,85,1.5,8.6
845,85,2.0,7.96
846,85,2.5,7.32
847,85,3.0,6.41
848,85,3.5,6.99
849,85,4.0,7.37
850,85,4.5,7.06
851,86,0.0,7.31
852,86,0.5,7.64
853,86,1.0,7.52
854,86,1.5,8.66
855,86,2.0,7.05
856,86,2.5,6.8
857,86,3.0,8.04
858,86,3.5,7.51
859,86,4.0,7.26
860,86,4.5,6.64
861,87,0.0,8.49
862,87,0.5,8.53
863,87,1.0,7.42
864,87,1.5,7.0
865,87,2.0,7.93
866,87,2.5,7.75
867,87,3.0,7.76
868,87,3.5,6.63
869,87,4.0,6.99
870,87,4.5,7.52
871,88,0.0,8.8
872,88,0.5,7.39
873,88,1.0,7.87
874,88,1.5,8.54
875,88,2.0,8.19
876,88,2.5,8.23
877,88,3.0,7.94
878,88,3.5,7.19
879,88,4.0,7.83
880,88,4.5,6.64
881,89,0.0,7.75
882,89,0.5,7.53
883,89,1.0,7.31
884,89,1.5,7.41
885,89,2.0,8.18
886,89,2.5,7.15
887,89,3.0,7.92
888,89,3.5,7.7
889,89,4.0,6.62
890,89,4.5,6.59
891,90,0.0,8.53
892,90,0.5,6.98
893,90,1.0,7.64
894,90,1.5,7.79
895,90,2.0,7.81
896,90,2.5,7.98
897,90,3.0,8.35
898,90,3.5,7.36
899,90,4.0,6.49
900,90,4.5,6.55
901,91,0.0,7.28
902,91,0.5,7.65
903,91,1.0,8.18
904,91,1.5,7.66
905,91,2.0,8.04
906,91,2.5,8.04
907,91,3.0,6.87
908,91,3.5,6.93
909,91,4.0,7.09
910,91,4.5,6.28
911,92,0.0,7.24
912,92,0.5,8.13
913,92,1.0,7.34
914,92,1.5,6.8
915,92,2.0,7.45
916,92,2.5,7.71
917,92,3.0,7.9
918,92,3.5,7.09
919,92,4.0,6.47
920,92,4.5,6.88
921,93,0.0,7.32
922,93,0.5,7.0
923,93,1.0,8.4
924,93,1.5,6.89
925,93,2.0,6.94
926,93,2.5,8.25
927,93,3.0,6.89
928,93,3.5,7.89
929,93,4.0,6.83
930,93,4.5,8.05
931,94,0.0,7.95
932,94,0.5,8.67
933,94,1.0,8.21
934,94,1.5,6.73
935,94,2.0,6.73
936,94,2.5,6.97
937,94,3.0,7.61
938,94,3.5,6.31
939,94,4.0,6.49
940,94,4.5,7.49
941,95,0.0,8.5
942,95,0.5,8.64
943,95,1.0,8.3
944,95,1.5,7.61
945,95,2.0,7.74
946,95,2.5,8.28
947,95,3.0,7.53
948,95,3.5,7.29
949,95,4.0,7.48
950,95,4.5,6.35
951,96,0.0,8.14
952,96,0.5,7.02
953,96,1.0,7.97
954,96,1.5,8.48
955,96,2.0,7.45
956,96,2.5,6.62
957,96,3.0,7.99
958,96,3.5,7.83
959,96,4.0,7.13
960,96,4.5,7.52
961,97,0.0,7.97
962,97,0.5,8.78
963,97,1.0,6.92
964,97,1.5,8.12
965,97,2.0,7.01
966,97,2.5,6.66
967,97,3.0,7.31
968,97,3.5,7.1
969,97,4.0,6.9
970,97,4.5,7.93
971,98,0.0,7.14
972,98,0.5,7.94
973,98,1.0,8.08
974,98,1.5,8.15
975,98,2.0,8.2
976,98,2.5,6.59
977,98,3.0,7.29
978,98,3.5,7.79
979,98,4.0,7.62
980,98,4.5,7.6
981,99,0.0,9.0
982,99,0.5,8.15
983,99,1.0,7.66
984,99,1.5,8.36
985,99,2.0,8.52
986,99,2.5,7.78
987,99,3.0,8.01
988,99,3.5,6.67
989,99,4.0,7.18
990,99,4.5,7.92
991,100,0.0,7.14
992,100,0.5,7.48
993,100,1.0,8.52
994,100,1.5,8.45
995,100,2.0,8.25
996,100,2.5,7.71
997,100,3.0,7.82
998,100,3.5,6.31
999,100,4.0,6.48
1000,100,4.5,7.29
1001,101,0.0,7.52
1002,101,0.5,8.23
1003,101,1.0,7.77
1004,101,1.5,7.09
1005,101,2.0,8.59
1006,101,2.5,6.76
1007,101,3.0,7.35
1008,101,3.5,6.47
1009,101,4.0,7.83
1010,101,4.5,7.7
1011,102,0.0,8.39
1012,102,0.5,7.78
1013,102,1.0,8.19
1014,102,1.5,8.61
1015,102,2.0,8.47
1016,102,2.5,8.1
1017,102,3.0,7.33
1018,102,3.5,8.15
1019,102,4.0,6.43
1020,102,4.5,7.99
1021,103,0.0,8.76
1022,103,0.5,7.34
1023,103,1.0,8.51
1024,103,1.5,7.93
1025,103,2.0,8.34
1026,103,2.5,8.44
1027,103,3.0,8.01
1028,103,3.5,6.68
1029,103,4.0,7.78
1030,103,4.5,7.79
1031,104,0.0,8.82
1032,104,0.5,7.91
1033,104,1.0,7.93
1034,104,1.5,7.19
1035,104,2.0,6.74
1036,104,2.5,7.84
1037,104,3.0,8.13
1038,104,3.5,8.04
1039,104,4.0,7.07
1040,104,4.5,7.97
1041,105,0.0,7.21
1042,105,0.5,8.26
1043,105,1.0,8.74
1044,105,1.5,6.86
1045,105,2.0,6.66
1046,105,2.5,7.77
1047,105,3.0,6.84
1048,105,3.5,6.66
1049,105,4.0,7.89
1050,105,4.5,8.04
1051,106,0.0,7.25
1052,106,0.5,7.87
1053,106,1.0,7.38
1054,106,1.5,8.11
1055,106,2.0,7.7
1056,106,2.5,7.49
1057,106,3.0,7.67
1058,106,3.5,6.76
1059,106,4.0,7.24
1060,106,4.5,7.97
1061,107,0.0,7.6
1062,107,0.5,8.03
1063,107,1.0,7.21
1064,107,1.5,6.88
1065,107,2.0,7.79
1066,107,2.5,8.45
1067,107,3.0,6.97
1068,107,3.5,7.63
1069,107,4.0,6.81
1070,107,4.5,7.82
1071,108,0.0,7.79
1072,108,0.5,7.36
1073,108,1.0,8.5
1074,108,1.5,7.14
1075,108,2.0,7.08
1076,108,2.5,7.0
1077,108,3.0,7.98
1078,108,3.5,8.26
1079,108,4.0,7.86
1080,108,4.5,6.56
1081,109,0.0,8.2
1082,109,0.5,7.49
1083,109,1.0,7.12
1084,109,1.5,8.34
1085,109,2.0,7.54
1086,109,2.5,7.8
1087,109,3.0,7.53
1088,109,3.5,6.91
1089,109,4.0,6.9
1090,109,4.5,6.58
1091,110,0.0,7.56
1092,110,0.5,7.94
1093,110,1.0,6.88
1094,110,1.5,7.45
1095,110,2.0,6.73
1096,110,2.5,8.24
1097,110,3.0,7.43
1098,110,3.5,6.77
1099,110,4.0,6.77
1100,110,4.5,7.35
1101,111,0.0,7.39
1102,111,0.5,7.62
1103,111,1.0,7.24
1104,111,1.5,7.2
1105,111,2.0,7.66
1106,111,2.5,7.77
1107,111,3.0,7.44
1108,111,3.5,6.76
1109,111,4.0,7.59
1110,111,4.5,6.92
1111,112,0.0,8.15
1112,112,0.5,8.14
1113,112,1.0,6.8
1114,112,1.5,8.22
1115,112,2.0,6.62
1116,112,2.5,8.07
1117,112,3.0,7.06
1118,112,3.5,7.85
1119,112,4.0,7.68
1120,112,4.5,6.27
1121,113,0.0,8.35
1122,113,0.5,7.57
1123,113,1.0,8.22
1124,113,1.5,7.7
1125,113,2.0,7.99
1126,113,2.5,6.65
1127,113,3.0,6.45
1128,113,3.5,7.62
1129,113,4.0,7.63
1130,113,4.5,6.91
1131,114,0.0,7.51
1132,114,0.5,8.08
1133,114,1.0,8.67
1134,114,1.5,8.65
1135,114,2.0,6.68
1136,114,2.5,8.32
1137,114,3.0,7.81
1138,114,3.5,7.3
1139,114,4.0,6.71
1140,114,4.5,7.72
1141,115,0.0,7.11
1142,115,0.5,7.49
1143,115,1.0,8.39
1144,115,1.5,7.26
1145,115,2.0,6.72
1146,115,2.5,7.59
1147,115,3.0,6.91
1148,115,3.5,6.45
1149,115,4.0,7.76
1150,115,4.5,8.09
