ReadingId,SubId,Timestamp,ReadTime,Wattage,Plant,ToolName,ToolLine,PassFail,CreatedAt
97,FS-2026-0097,2026-08-09 09:08:00,1.56,238.65,Toledo,Flasher,A,0,2026-09-11 18:08:51
98,FS-2026-0098,2026-08-30 21:09:00,1.34,375.55,Toledo,Flasher,B,1,2026-09-11 18:08:51
99,FS-2026-0099,2026-08-03 05:00:00,1.05,399.71,Toledo,Boiler,B,0,2026-09-11 18:08:51
100,FS-2026-0100,2026-08-26 06:27:00,1.0,201.88,Toledo,Boiler,B,0,2026-09-11 18:08:51
101,FS-2026-0101,2026-08-26 14:22:00,0.56,335.73,Perrysburg,Flasher,B,1,2026-09-11 18:08:51
102,FS-2026-0102,2026-08-26 20:18:00,1.22,291.53,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
103,FS-2026-0103,2026-08-24 17:33:00,3.0,217.16,Perrysburg,Flasher,B,1,2026-09-11 18:08:51
104,FS-2026-0104,2026-08-25 07:35:00,1.17,274.82,Toledo,Flasher,B,1,2026-09-11 18:08:51
105,FS-2026-0105,2026-08-28 10:48:00,2.59,231.16,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
106,FS-2026-0106,2026-08-07 23:39:00,1.04,247.89,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
107,FS-2026-0107,2026-08-04 08:48:00,2.09,206.15,Toledo,Boiler,A,0,2026-09-11 18:08:51
108,FS-2026-0108,2026-08-25 02:11:00,2.35,259.86,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
109,FS-2026-0109,2026-08-30 19:08:00,1.37,220.13,Toledo,Flasher,B,1,2026-09-11 18:08:51
110,FS-2026-0110,2026-08-04 14:24:00,2.74,373.51,Toledo,Flasher,A,1,2026-09-11 18:08:51
111,FS-2026-0111,2026-08-07 12:16:00,1.51,245.53,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
112,FS-2026-0112,2026-08-01 08:59:00,2.94,253.33,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
113,FS-2026-0113,2026-08-20 14:32:00,0.93,286.3,Toledo,Flasher,A,1,2026-09-11 18:08:51
114,FS-2026-0114,2026-08-15 18:50:00,0.74,330.91,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
115,FS-2026-0115,2026-08-06 07:05:00,1.58,384.32,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
116,FS-2026-0116,2026-08-22 11:09:00,2.87,332.59,Toledo,Boiler,A,1,2026-09-11 18:08:51
117,FS-2026-0117,2026-08-20 21:43:00,1.89,271.29,Toledo,Boiler,B,0,2026-09-11 18:08:51
118,FS-2026-0118,2026-08-08 22:49:00,2.93,237.21,Toledo,Boiler,B,1,2026-09-11 18:08:51
119,FS-2026-0119,2026-08-12 03:13:00,2.8,376.48,Toledo,Boiler,B,0,2026-09-11 18:08:51
120,FS-2026-0120,2026-08-19 03:33:00,1.68,214.53,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
121,FS-2026-0121,2026-08-22 09:48:00,1.74,259.02,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
122,FS-2026-0122,2026-08-10 18:00:00,0.57,368.9,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
123,FS-2026-0123,2026-08-05 01:40:00,2.07,300.2,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
124,FS-2026-0124,2026-08-18 12:26:00,2.96,239.64,Toledo,Flasher,A,0,2026-09-11 18:08:51
125,FS-2026-0125,2026-08-07 21:52:00,1.21,295.9,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
126,FS-2026-0126,2026-08-25 23:59:00,0.57,300.57,Toledo,Boiler,A,1,2026-09-11 18:08:51
127,FS-2026-0127,2026-08-25 22:09:00,0.63,317.33,Toledo,Boiler,A,0,2026-09-11 18:08:51
128,FS-2026-0128,2026-08-19 12:23:00,2.13,312.67,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
129,FS-2026-0129,2026-08-18 00:21:00,1.48,351.35,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
130,FS-2026-0130,2026-08-17 16:11:00,1.96,399.42,Toledo,Flasher,A,1,2026-09-11 18:08:51
131,FS-2026-0131,2026-08-15 15:19:00,0.9,374.75,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
132,FS-2026-0132,2026-08-23 10:23:00,1.12,289.03,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
133,FS-2026-0133,2026-08-23 18:11:00,2.12,257.7,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
134,FS-2026-0134,2026-08-16 21:04:00,2.33,252.24,Toledo,Flasher,A,0,2026-09-11 18:08:51
135,FS-2026-0135,2026-08-19 08:39:00,2.2,329.65,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
136,FS-2026-0136,2026-08-23 10:39:00,2.52,272.72,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
137,FS-2026-0137,2026-08-20 22:47:00,1.46,334.13,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
138,FS-2026-0138,2026-08-18 05:25:00,2.84,208.75,Toledo,Boiler,B,1,2026-09-11 18:08:51
139,FS-2026-0139,2026-08-25 21:27:00,0.71,232.4,Toledo,Boiler,B,0,2026-09-11 18:08:51
140,FS-2026-0140,2026-08-29 03:31:00,1.19,351.46,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
141,FS-2026-0141,2026-08-03 14:17:00,2.09,396.83,Toledo,Flasher,A,1,2026-09-11 18:08:51
142,FS-2026-0142,2026-08-03 15:17:00,1.87,360.12,Toledo,Flasher,A,0,2026-09-11 18:08:51
143,FS-2026-0143,2026-08-07 22:41:00,2.32,398.56,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
144,FS-2026-0144,2026-08-10 14:25:00,2.81,391.54,Toledo,Boiler,B,1,2026-09-11 18:08:51
145,FS-2026-0145,2026-08-21 00:46:00,1.13,314.29,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
146,FS-2026-0146,2026-08-08 19:32:00,2.03,233.46,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
147,FS-2026-0147,2026-08-07 03:47:00,2.27,274.48,Toledo,Boiler,A,1,2026-09-11 18:08:51
148,FS-2026-0148,2026-08-30 11:33:00,1.93,281.65,Perrysburg,Flasher,B,1,2026-09-11 18:08:51
149,FS-2026-0149,2026-08-19 08:35:00,1.01,209.75,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
150,FS-2026-0150,2026-08-15 04:47:00,1.11,290.62,Toledo,Flasher,A,0,2026-09-11 18:08:51
151,FS-2026-0151,2026-08-06 14:02:00,1.79,206.6,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
152,FS-2026-0152,2026-08-16 23:49:00,2.39,381.43,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
153,FS-2026-0153,2026-08-30 10:49:00,1.93,370.97,Toledo,Flasher,A,1,2026-09-11 18:08:51
154,FS-2026-0154,2026-08-26 12:36:00,0.94,277.19,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
155,FS-2026-0155,2026-08-15 17:34:00,0.84,228.6,Toledo,Boiler,B,1,2026-09-11 18:08:51
156,FS-2026-0156,2026-08-08 20:51:00,2.04,211.48,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
157,FS-2026-0157,2026-08-30 15:42:00,2.97,300.63,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
158,FS-2026-0158,2026-08-25 23:15:00,2.12,356.56,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
159,FS-2026-0159,2026-08-19 13:27:00,1.33,233.95,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
160,FS-2026-0160,2026-08-08 19:45:00,2.31,263.55,Toledo,Boiler,B,1,2026-09-11 18:08:51
161,FS-2026-0161,2026-08-11 01:51:00,1.04,346.29,Toledo,Boiler,A,1,2026-09-11 18:08:51
162,FS-2026-0162,2026-08-11 10:06:00,0.84,396.04,Toledo,Flasher,A,0,2026-09-11 18:08:51
163,FS-2026-0163,2026-08-29 18:26:00,0.68,257.31,Toledo,Flasher,A,1,2026-09-11 18:08:51
164,FS-2026-0164,2026-08-06 23:49:00,1.94,204.03,Toledo,Flasher,A,1,2026-09-11 18:08:51
165,FS-2026-0165,2026-08-18 18:32:00,2.09,379.98,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
166,FS-2026-0166,2026-08-17 19:20:00,2.67,366.5,Toledo,Flasher,A,1,2026-09-11 18:08:51
167,FS-2026-0167,2026-08-18 17:47:00,2.12,363.48,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
168,FS-2026-0168,2026-08-04 10:59:00,2.41,397.64,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
169,FS-2026-0169,2026-08-19 09:37:00,1.35,390.72,Toledo,Boiler,A,0,2026-09-11 18:08:51
170,FS-2026-0170,2026-08-24 23:29:00,2.88,348.89,Toledo,Boiler,B,0,2026-09-11 18:08:51
171,FS-2026-0171,2026-08-28 09:08:00,0.68,266.73,Toledo,Flasher,B,1,2026-09-11 18:08:51
172,FS-2026-0172,2026-08-19 17:39:00,1.84,321.42,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
173,FS-2026-0173,2026-08-27 23:27:00,1.83,254.0,Toledo,Flasher,B,0,2026-09-11 18:08:51
174,FS-2026-0174,2026-08-05 11:22:00,1.04,367.32,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
175,FS-2026-0175,2026-08-04 20:20:00,2.38,279.78,Toledo,Boiler,B,1,2026-09-11 18:08:51
176,FS-2026-0176,2026-08-26 01:25:00,2.03,251.5,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
177,FS-2026-0177,2026-08-16 02:33:00,0.82,371.27,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
178,FS-2026-0178,2026-08-09 00:11:00,1.37,350.33,Toledo,Flasher,A,1,2026-09-11 18:08:51
179,FS-2026-0179,2026-08-26 09:15:00,2.14,217.13,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
180,FS-2026-0180,2026-08-09 20:49:00,1.32,231.56,Toledo,Boiler,B,1,2026-09-11 18:08:51
181,FS-2026-0181,2026-08-15 19:16:00,2.43,396.62,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
182,FS-2026-0182,2026-08-25 10:14:00,2.17,374.91,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
183,FS-2026-0183,2026-08-19 07:57:00,2.75,308.31,Toledo,Flasher,B,1,2026-09-11 18:08:51
184,FS-2026-0184,2026-08-09 18:35:00,0.88,338.23,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
185,FS-2026-0185,2026-08-23 17:45:00,0.83,381.1,Toledo,Boiler,A,1,2026-09-11 18:08:51
186,FS-2026-0186,2026-08-16 21:43:00,2.17,352.87,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
187,FS-2026-0187,2026-08-21 18:41:00,2.98,399.17,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
188,FS-2026-0188,2026-08-28 10:30:00,1.99,388.61,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
189,FS-2026-0189,2026-08-19 06:08:00,2.88,280.69,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
190,FS-2026-0190,2026-08-17 20:24:00,1.56,384.82,Toledo,Flasher,B,0,2026-09-11 18:08:51
191,FS-2026-0191,2026-08-15 12:27:00,0.89,317.83,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
192,FS-2026-0192,2026-08-06 10:05:00,1.18,309.97,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
193,FS-2026-0193,2026-08-03 02:50:00,2.19,346.66,Toledo,Flasher,A,1,2026-09-11 18:08:51
194,FS-2026-0194,2026-08-04 14:23:00,2.94,322.75,Toledo,Boiler,B,0,2026-09-11 18:08:51
195,FS-2026-0195,2026-08-11 14:15:00,2.17,280.26,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
196,FS-2026-0196,2026-08-10 23:00:00,0.86,350.23,Toledo,Boiler,A,0,2026-09-11 18:08:51
197,FS-2026-0197,2026-08-11 18:05:00,2.28,278.06,Toledo,Boiler,A,1,2026-09-11 18:08:51
198,FS-2026-0198,2026-08-13 10:44:00,1.46,261.19,Toledo,Boiler,A,0,2026-09-11 18:08:51
199,FS-2026-0199,2026-08-19 22:07:00,2.55,267.64,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
200,FS-2026-0200,2026-08-14 18:11:00,1.87,239.71,Toledo,Flasher,B,1,2026-09-11 18:08:51
201,FS-2026-0201,2026-08-02 10:12:00,2.13,337.46,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
202,FS-2026-0202,2026-08-15 12:37:00,1.0,290.72,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
203,FS-2026-0203,2026-08-10 18:30:00,0.81,316.78,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
204,FS-2026-0204,2026-08-20 18:17:00,1.87,327.73,Toledo,Boiler,A,0,2026-09-11 18:08:51
205,FS-2026-0205,2026-08-14 14:13:00,2.4,244.55,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
206,FS-2026-0206,2026-08-21 06:54:00,0.68,393.7,Toledo,Boiler,A,1,2026-09-11 18:08:51
207,FS-2026-0207,2026-08-18 08:12:00,1.97,231.72,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
208,FS-2026-0208,2026-08-06 09:12:00,2.41,294.97,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
209,FS-2026-0209,2026-08-26 08:17:00,2.75,305.16,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
210,FS-2026-0210,2026-08-08 02:49:00,2.02,266.11,Toledo,Flasher,A,0,2026-09-11 18:08:51
211,FS-2026-0211,2026-08-17 10:42:00,1.05,306.18,Toledo,Boiler,A,1,2026-09-11 18:08:51
212,FS-2026-0212,2026-08-03 06:28:00,0.53,251.69,Toledo,Boiler,B,1,2026-09-11 18:08:51
213,FS-2026-0213,2026-08-10 17:17:00,2.38,255.57,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
214,FS-2026-0214,2026-08-14 13:34:00,1.18,351.59,Toledo,Boiler,A,0,2026-09-11 18:08:51
215,FS-2026-0215,2026-08-05 09:00:00,1.45,282.94,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
216,FS-2026-0216,2026-08-14 16:03:00,2.27,235.73,Toledo,Flasher,B,0,2026-09-11 18:08:51
217,FS-2026-0217,2026-08-15 17:37:00,1.78,258.94,Toledo,Flasher,B,0,2026-09-11 18:08:51
218,FS-2026-0218,2026-08-15 08:22:00,0.86,375.51,Toledo,Boiler,A,0,2026-09-11 18:08:51
219,FS-2026-0219,2026-08-21 02:14:00,0.85,242.66,Toledo,Boiler,A,1,2026-09-11 18:08:51
220,FS-2026-0220,2026-08-29 13:56:00,0.57,337.67,Toledo,Flasher,B,1,2026-09-11 18:08:51
221,FS-2026-0221,2026-08-24 21:12:00,2.27,343.56,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
222,FS-2026-0222,2026-08-05 15:44:00,2.23,306.82,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
223,FS-2026-0223,2026-08-02 22:14:00,2.9,301.05,Toledo,Boiler,A,1,2026-09-11 18:08:51
224,FS-2026-0224,2026-08-23 06:26:00,1.49,282.06,Toledo,Boiler,B,0,2026-09-11 18:08:51
225,FS-2026-0225,2026-08-22 03:15:00,1.29,320.65,Toledo,Boiler,A,0,2026-09-11 18:08:51
226,FS-2026-0226,2026-08-21 09:32:00,1.1,260.19,Toledo,Boiler,B,0,2026-09-11 18:08:51
227,FS-2026-0227,2026-08-22 19:50:00,0.95,362.26,Toledo,Flasher,A,1,2026-09-11 18:08:51
228,FS-2026-0228,2026-08-14 03:33:00,1.08,214.68,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
229,FS-2026-0229,2026-08-04 02:23:00,1.51,384.43,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
230,FS-2026-0230,2026-08-19 17:22:00,1.71,365.63,Toledo,Flasher,A,0,2026-09-11 18:08:51
231,FS-2026-0231,2026-08-05 13:30:00,0.56,227.19,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
